ticker,isin
ATVI,US00507V1098
BLUE,US09609G1004
BNOX,US09063M2052
CCIV,US1714391026
CCNC,US19200A2042
CEI,US13200M5085
CTIC,US12648L6011
DIDI,US23292E1082
DWAC,US25400Q1058
DWTX/DWT,US17325E3099
EDOC,US37954Y2853
EYES,US81362J2096
FIGM,US3168411052
FRC,US33616C1009
GOEV,US13803R1023
HGEN,US4448632038
HTBX,US42237K3005
IPOE,KYG8252P1054
IRNU,US88636W6509
LVGO,US5391831030
MULN,US62526P1093
NAKD,AU0000069130
NKLA,US6541101050
NVDT,US26923N8193
ORPH,US6873051022
PACW,US6952631033
PROG,US74319F1075
PTRA,US74374T1097
RGTD,US88636V6526
SBE,US87105M1027
SGOC,KYG807511293
SMRU,US46143U4922
SPI,KYG8651P1101
SPLG,US78464A8541
SPRT,US86858W2008
SQ,US8522341036
SUNW,US86803X2045
TRCH,US89102U1034
TRKA,US89689F3055
TSLB,US46144X1239
TUP,US8998961044
TVIX,US22542D2586
TWTR,US90184L1026
UGAZ,US22539T1833
USLV,US22542D2909
UWT,US17325E2919
VLDR,US3842781078
VTNR,US92534K1079
WISH,US21077C1071
ZOM,CA98980M1095
